celltype,gene,adj_p_val,lfc
Exc,GPR65,0.752648532,0.175340677
Exc,HTR1B,0.752625578,-0.005936965
Exc,IFITM3,0.75234006,0.700389244
Exc,HCRT,0.751368819,0.757192245
Exc,LYSMD1,0.751238489,0.525396365
Exc,BORCS8-MEF2B,0.75101455,0.507820029
Exc,SLAMF1,0.750996302,-0.089980151
Exc,S100A9,0.750923041,-0.682689489
Exc,TSPAN12,0.74889317,0.411153139
Exc,NCDN,0.747890274,0.359343496
Exc,RP11-561B11.2,0.747508871,0.151044573
Exc,ZSWIM1,0.74744976,0.524821986
Exc,SATL1,0.7469457,0.240641612
Exc,LECT2,0.744983321,0.097780508
Exc,EVC2,0.744908941,0.172583824
Exc,C11orf40,0.743549733,1.24112908
Exc,SLC22A11,0.743398927,-0.046799221
Exc,ODF4,0.743398927,-0.048601941
Exc,AC007326.1,0.743398927,1.45898781
Exc,PGAM4,0.743338523,0.599116756
Exc,FAM71C,0.743338523,-0.592494094
Exc,KCNJ18,0.743338523,-0.287608821
Exc,GPHA2,0.743327127,-3.175134306
Exc,P2RY2,0.743225303,-0.871705071
Exc,UBQLN4,0.741061521,0.56302407
Exc,FRAT2,0.741061521,0.626044789
Exc,EFNA1,0.740897081,0.479147396
Exc,SLC7A10,0.740317614,1.313451702
Exc,FANCE,0.739423851,0.193193697
Exc,ADGRF4,0.737144717,0.812988585
Exc,CYP39A1,0.736435346,0.435349755
Exc,TMEM249,0.736248743,0.607890567
Exc,PDLIM4,0.735416196,0.000968958
Exc,GAS2L3,0.735203826,0.795355704
Exc,TEX38,0.730476741,-0.435853581
Exc,ZP4,0.730476741,0.177333539
Exc,GBX2,0.730476741,0.106530226
Exc,ANXA2R,0.730476741,-0.664565003
Exc,ADGRF2,0.730476741,-0.102161727
Exc,ZNF705G,0.730476741,-0.316367707
Exc,EPPK1,0.730476741,0.043067066
Exc,C11orf94,0.730476741,-0.181611358
Exc,ADM2,0.730476741,-0.041925404
Exc,ICOSLG,0.730167225,0.634367774
Exc,NPIPB6,0.730080945,0.44034299
Exc,MYOD1,0.730046353,-1.616837341
Exc,POTEM,0.730046353,0.241118227
Exc,CEACAM4,0.730046353,-0.261753816
Exc,CTSD,0.730014041,0.224107684
Exc,RP11-512M8.5,0.72962348,1.535454561
Exc,ZBTB7A,0.729069634,0.421325034
Exc,CTDSP2,0.726980861,0.724010252
Exc,SFTPB,0.726472605,0.910376941
Exc,S100A12,0.723810798,0.548413036
Exc,BSG,0.71994836,0.375370999
Exc,AVPR1A,0.716821478,0.746694691
Exc,KRT80,0.716561043,1.181932711
Exc,S100A10,0.714066496,1.010074551
Exc,AOC2,0.712656238,0.257173241
Exc,KL,0.711189662,1.268419839
Exc,CCL25,0.706999757,0.050659988
Exc,TIGIT,0.706891397,0.139171528
Exc,C17orf105,0.704826941,-0.051970479
Exc,TMEM8C,0.704696308,0.74917242
Exc,NR5A1,0.704674178,0.624396151
Exc,VAX1,0.70467375,1.157728997
Exc,DHH,0.70467375,1.300771259
Exc,TMEM189-UBE2V1,0.70467375,0.159920457
Exc,C22orf42,0.70467375,0.720471056
Exc,PRAMEF20,0.704433304,1.855933072
Exc,TAGLN2,0.704114368,0.176069089
Exc,CDH24,0.703926163,0.576298887
Exc,TREX2,0.701676534,1.150300583
Exc,LPIN3,0.701188454,0.637011414
Exc,ZNF492,0.700588078,0.542145623
Exc,GRXCR1,0.699708466,0.006818542
Exc,GPC2,0.699654817,0.664557901
Exc,LGALS9,0.699147186,0.546232381
Exc,THBD,0.699128083,1.158895305
Exc,ZNF300,0.698331914,0.640433361
Exc,RP3-382I10.7,0.698092311,0.271981943
Exc,EMP1,0.697800333,0.582165242
Exc,ZFP36,0.697689538,0.15315382
Exc,CYTIP,0.697075772,0.602894572
Exc,FAM216B,0.696773217,-0.230683826
Exc,PCDHB7,0.69664106,-0.226264233
Exc,TPSB2,0.69664106,-0.251846611
Exc,FAM109B,0.69664106,0.652398196
Exc,AC104534.3,0.696568841,0.346416425
Exc,WEE1,0.696530871,0.374877894
Exc,MS4A3,0.696389096,0.053460089
Exc,ADRB3,0.696246812,0.328359368
Exc,OR5V1,0.696174506,0.325368534
Exc,USP41,0.696157351,0.159173373
Exc,GBP1,0.696023572,0.126933827
Exc,CYP4F12,0.696023572,0.468150749
Exc,STRA6,0.695698281,0.023754827
Exc,SLC22A16,0.695684925,-0.091505474
Exc,IGLL1,0.695611053,0.527413791
Exc,SYCE3,0.695526145,0.109137625
Exc,C2orf66,0.695275797,0.417100804
